Experiment,Study,Species A,Species B,species_pair,Fraction inoculum,Training environment,Testing environment,Testing community,AinA mean,AinA se,AinA N,AinB mean,AinB se,AinB N,BinB mean,BinB se,BinB N,BinA mean,BinA se,BinA N,AinR mean,AinR se,AinR N,BinR mean,BinR se,BinR N,author,year,who_entered,study_control_type,control_type,Study_sterilization_method
20,38,apeiba_membranacea,colubrina_spinosa,apeiba_membranacea_colubrina_spinosa,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.556675512,0.612483445,30,16.13,1.154547135,30,16.83209636,1.404578271,30,4.433593999999999,0.5200596122806767,6,17.195768333333334,1.2841589515829244,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,apeiba_membranacea,iriartea_deltoidea,apeiba_membranacea_iriartea_deltoidea,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.23831562,0.564298652,30,179.6765574,11.97929974,30,166.4152648,12.71950779,30,4.433593999999999,0.5200596122806767,6,185.625,10.565088440235606,5,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,apeiba_membranacea,pentaclethra_macroloba,apeiba_membranacea_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.457550158,0.529402477,30,1451.326619,92.87634316,30,1847.289449,118.4077964,30,4.433593999999999,0.5200596122806767,6,1726.1905,112.3092928816816,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,apeiba_membranacea,prestoea_decurrens,apeiba_membranacea_prestoea_decurrens,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,5.128806299,0.625094642,30,69.35,3.598950499,30,70.99198566,3.696427087,30,4.433593999999999,0.5200596122806767,6,64.0625,3.827327723098715,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,apeiba_membranacea,virola_koschnyi,apeiba_membranacea_virola_koschnyi,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.495887031,0.606389133,30,630.1138383,37.75147902,30,722.5886446,36.95696842,30,4.433593999999999,0.5200596122806767,6,729.1666666666666,37.285992352282165,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,colubrina_spinosa,iriartea_deltoidea,colubrina_spinosa_iriartea_deltoidea,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,16.13288986,1.608595894,30,179.6765574,11.97929974,30,141.5361593,22.6279663,30,17.195768333333334,1.2841589515829244,6,185.625,10.565088440235606,5,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,colubrina_spinosa,pentaclethra_macroloba,colubrina_spinosa_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,16.60177941,1.107388823,30,1451.326619,92.87634316,30,1826.616292,129.3173553,30,17.195768333333334,1.2841589515829244,6,1726.1905,112.3092928816816,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,colubrina_spinosa,prestoea_decurrens,colubrina_spinosa_prestoea_decurrens,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,16.20155867,1.161839454,30,69.35,3.598950499,30,70.37442832,3.77330981,30,17.195768333333334,1.2841589515829244,6,64.0625,3.827327723098715,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,colubrina_spinosa,virola_koschnyi,colubrina_spinosa_virola_koschnyi,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,17.34,1.129605969,30,630.1138383,37.75147902,30,771.8145594,41.33913915,30,17.195768333333334,1.2841589515829244,6,729.1666666666666,37.285992352282165,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,iriartea_deltoidea,pentaclethra_macroloba,iriartea_deltoidea_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,179.6765574,11.97929974,30,258.0638356,9.782898681,30,1451.326619,92.87634316,30,1580.393308,104.4620245,30,185.625,10.565088440235606,5,1726.1905,112.3092928816816,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,iriartea_deltoidea,prestoea_decurrens,iriartea_deltoidea_prestoea_decurrens,0.090661831,LabField,Lab,Individual,179.6765574,11.97929974,30,209.938434,10.44534913,30,69.35,3.598950499,30,69.37204102,3.681456518,30,185.625,10.565088440235606,5,64.0625,3.827327723098715,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,iriartea_deltoidea,virola_koschnyi,iriartea_deltoidea_virola_koschnyi,0.090661831,LabField,Lab,Individual,179.6765574,11.97929974,30,171.6147255,12.91614082,30,630.1138383,37.75147902,30,858.09351590000006,39.09001157,30,185.625,10.565088440235606,5,729.1666666666666,37.285992352282165,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,pentaclethra_macroloba,prestoea_decurrens,pentaclethra_macroloba_prestoea_decurrens,0.090661831,LabField,Lab,Individual,1451.326619,92.87634316,30,1861.077124,112.1397335,30,69.35,3.598950499,30,60.41148333,3.852806881,30,1726.1905,112.3092928816816,6,64.0625,3.827327723098715,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,pentaclethra_macroloba,virola_koschnyi,pentaclethra_macroloba_virola_koschnyi,0.090661831,LabField,Lab,Individual,1451.326619,92.87634316,30,1906.068347,117.7395184,30,630.1138383,37.75147902,30,730.6313601,37.79650396,30,1726.1905,112.3092928816816,6,729.1666666666666,37.285992352282165,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,prestoea_decurrens,virola_koschnyi,prestoea_decurrens_virola_koschnyi,0.090661831,LabField,Lab,Individual,69.35,3.598950499,30,76.52080792,3.464801447,30,630.1138383,37.75147902,30,774.0575364,37.76864738,30,64.0625,3.827327723098715,6,729.1666666666666,37.285992352282165,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,apeiba_membranacea,colubrina_spinosa,apeiba_membranacea_colubrina_spinosa,0.090661831,LabField,Lab,Individual,11.23,1.208119275,16,11.73049123,1.34748394,16,33.81,2.477205041,16,35.12553659,2.710216373,16,11.48148,1.1507172437090896,6,32.936508333333336,2.240882084834131,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,apeiba_membranacea,iriartea_deltoidea,apeiba_membranacea_iriartea_deltoidea,0.090661831,LabField,Lab,Individual,11.23,1.208119275,16,11.01312738,1.215266989,16,184.7450916,94.25769978,16,171.4837989,87.49173414,16,11.48148,1.1507172437090896,6,181.25,12.327917060983983,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,apeiba_membranacea,pentaclethra_macroloba,apeiba_membranacea_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,11.23,1.208119275,16,11.51590205,1.242729742,16,2468.238512,207.0507694,16,2481.976952,194.9582463,16,11.48148,1.1507172437090896,6,2164.0625,146.9913103298967,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,apeiba_membranacea,prestoea_decurrens,apeiba_membranacea_prestoea_decurrens,0.090661831,LabField,Lab,Individual,11.23,1.208119275,16,13.05530634,1.399931383,16,59.67,5.567344743,16,81.14931524,4.896551447,16,11.48148,1.1507172437090896,6,78.09523833333333,3.888079151202643,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,apeiba_membranacea,virola_koschnyi,apeiba_membranacea_virola_koschnyi,0.090661831,LabField,Lab,Individual,11.23,1.208119275,16,11.60382072,1.360356781,16,704.7796991,47.53020749,16,964.9030084,50.45800328,16,11.48148,1.1507172437090896,6,868.0555666666667,37.92113625534431,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,colubrina_spinosa,iriartea_deltoidea,colubrina_spinosa_iriartea_deltoidea,0.090661831,LabField,Lab,Individual,33.81,2.477205041,16,20.07315594,1.803876415,16,184.7450916,94.25769978,16,0.001,0,16,32.936508333333336,2.240882084834131,6,181.25,12.327917060983983,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,colubrina_spinosa,pentaclethra_macroloba,colubrina_spinosa_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,33.81,2.477205041,16,33.36367338,2.763922454,16,2468.238512,207.0507694,16,2203.645576,178.5124479,16,32.936508333333336,2.240882084834131,6,2164.0625,146.9913103298967,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,colubrina_spinosa,prestoea_decurrens,colubrina_spinosa_prestoea_decurrens,0.090661831,LabField,Lab,Individual,33.81,2.477205041,16,34.80186546,2.631528805,16,59.67,5.567344743,16,74.51205995,4.894602252,16,32.936508333333336,2.240882084834131,6,78.09523833333333,3.888079151202643,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,colubrina_spinosa,virola_koschnyi,colubrina_spinosa_virola_koschnyi,0.090661831,LabField,Lab,Individual,33.81,2.477205041,16,32.01625447,2.400040749,16,704.7796991,47.53020749,16,913.9712866,48.58987216,16,32.936508333333336,2.240882084834131,6,868.0555666666667,37.92113625534431,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,iriartea_deltoidea,pentaclethra_macroloba,iriartea_deltoidea_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,184.7450916,94.25769978,16,263.1323698,134.2512091,16,2468.238512,207.0507694,16,2235.033015,175.2525445,16,181.25,12.327917060983983,6,2164.0625,146.9913103298967,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,iriartea_deltoidea,prestoea_decurrens,iriartea_deltoidea_prestoea_decurrens,0.090661831,LabField,Lab,Individual,184.7450916,94.25769978,16,215.0069681,109.6974327,16,59.67,5.567344743,16,87.44851106,4.394675945,16,181.25,12.327917060983983,6,78.09523833333333,3.888079151202643,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,iriartea_deltoidea,virola_koschnyi,iriartea_deltoidea_virola_koschnyi,0.090661831,LabField,Lab,Individual,184.7450916,94.25769978,16,176.6832596,90.14452023,16,704.7796991,47.53020749,16,932.1311359,45.94034477,16,181.25,12.327917060983983,6,868.0555666666667,37.92113625534431,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,pentaclethra_macroloba,prestoea_decurrens,pentaclethra_macroloba_prestoea_decurrens,0.090661831,LabField,Lab,Individual,2468.238512,207.0507694,16,2301.169635,192.9656329,16,59.67,5.567344743,16,74.71521938,4.542407022,16,2164.0625,146.9913103298967,6,78.09523833333333,3.888079151202643,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,pentaclethra_macroloba,virola_koschnyi,pentaclethra_macroloba_virola_koschnyi,0.090661831,LabField,Lab,Individual,2468.238512,207.0507694,16,2555.396234,200.2132056,16,704.7796991,47.53020749,16,854.7186966,48.29217485,16,2164.0625,146.9913103298967,6,868.0555666666667,37.92113625534431,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
21,38,prestoea_decurrens,virola_koschnyi,prestoea_decurrens_virola_koschnyi,0.090661831,LabField,Lab,Individual,59.67,5.567344743,16,81.64275532,4.541697294,16,704.7796991,47.53020749,16,884.1986512,47.92821683,16,78.09523833333333,3.888079151202643,6,868.0555666666667,37.92113625534431,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
22,39,eragrostis_pilosa,poa_annua,eragrostis_pilosa_poa_annua,0.142727273,Field,Lab,Individual,1.5,0.11,5,1.66,0.13,5,1.32,0.21,5,1.35,0.17,5,2.155,0.14866068747318506,2,1.795,0.05385164807134505,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
22,39,heracleum_mantegazzianum,heracleum_sphondylium,heracleum_mantegazzianum_heracleum_sphondylium,0.142727273,Field,Lab,Individual,3.49,0.97,5,3.24,0.21,5,2.41,0.18,5,3.18,0.66,5,4.795,0.6082968025561206,2,4.785,0.5374011537017761,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
22,39,tragopogon_dubius,tragopogon_pratensis,tragopogon_dubius_tragopogon_pratensis,0.142727273,Field,Lab,Individual,1.27,0.13,5,0.94,0.1,5,0.86,0.09,5,1.16,0.06,5,1.65,0.2050609665440988,2,2.045,0.14534441853748634,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
23,39,eragrostis_pilosa,poa_annua,eragrostis_pilosa_poa_annua,0.142727273,Field,Lab,Individual,4.26,0.99,5,5.66,0.63,5,2.9,0.33,5,4.7,1.34,5,7.01,0.5890033955759508,2,5.02,0.3932238548206352,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
23,39,heracleum_mantegazzianum,heracleum_sphondylium,heracleum_mantegazzianum_heracleum_sphondylium,0.142727273,Field,Lab,Individual,8.3,0.93,5,8.51,1,5,8.84,0.48,5,9.65,0.44,5,8.844999999999999,0.6388466169590319,2,12.125,0.5273755777432246,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
23,39,tragopogon_dubius,tragopogon_pratensis,tragopogon_dubius_tragopogon_pratensis,0.142727273,Field,Lab,Individual,4.4,0.5,5,3.87,0.41,5,5.38,0.59,5,4.84,0.56,5,3.94,0.3110064308016797,2,4.78,0.3995309750194595,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
24,39,eragrostis_pilosa,poa_annua,eragrostis_pilosa_poa_annua,0.143636364,Lab,Lab,Individual,1.85,0.18,5,2.13,0.1,5,2.71,0.4,5,3.22,0.27,5,2.575,0.1562049935181331,2,4.73,0.33376638536557274,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
24,39,heracleum_mantegazzianum,heracleum_sphondylium,heracleum_mantegazzianum_heracleum_sphondylium,0.143636364,Lab,Lab,Individual,5.41,0.2,5,5.2,0.21,5,3.67,0.34,5,4.18,0.3,5,6.66,0.25124689052802224,2,5.24,0.22472205054244232,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
24,39,tragopogon_dubius,tragopogon_pratensis,tragopogon_dubius_tragopogon_pratensis,0.143636364,Lab,Lab,Individual,2.53,0.33,5,1.68,0.08,5,1.75,0.13,5,2.42,0.14,5,2.69,0.15,2,2.75,0.1140175425099138,2,van Grunsven et al,2007,xinyi,CS,CS,autoclaving
33,51,anthoxanthum_odoratum,festuca_rubra,anthoxanthum_odoratum_festuca_rubra,1,Lab,Lab,Individual,0.027,0.003,5,0.025,0.002,5,0.017,0.004,5,0.035,0.004,5,0.233051,0.03389799999999998,5,0.330579,0.04752000000000001,5,Hendriks et al,2013,xinyi,CmL_CmS_CS,CmS,gamma irradiation
33,51,anthoxanthum_odoratum,leucanthemum_vulgare,anthoxanthum_odoratum_leucanthemum_vulgare,1,Lab,Lab,Individual,0.027,0.003,5,0.067,0.005,5,0.016,0.0016,5,0.048,0.0051,5,0.233051,0.03389799999999998,5,0.283784,0.01801800000000003,5,Hendriks et al,2013,xinyi,CmL_CmS_CS,CmS,gamma irradiation
33,51,anthoxanthum_odoratum,plantago_lanceolata,anthoxanthum_odoratum_plantago_lanceolata,1,Lab,Lab,Individual,0.027,0.003,5,0.035,0.003,5,0.0153,0.0017,5,0.0716,0.009,5,0.233051,0.03389799999999998,5,0.321267,0.02714899999999998,5,Hendriks et al,2013,xinyi,CmL_CmS_CS,CmS,gamma irradiation
33,51,leucanthemum_vulgare,festuca_rubra,festuca_rubra_leucanthemum_vulgare,1,Lab,Lab,Individual,0.016,0.0016,5,0.035,0.003,5,0.017,0.004,5,0.082,0.0035,5,0.283784,0.01801800000000003,5,0.330579,0.04752000000000001,5,Hendriks et al,2013,xinyi,CmL_CmS_CS,CmS,gamma irradiation
33,51,plantago_lanceolata,festuca_rubra,festuca_rubra_plantago_lanceolata,1,Lab,Lab,Individual,0.015,0.003,5,0.051,0.003,5,0.017,0.004,5,0.045,0.007,5,0.321267,0.02714899999999998,5,0.330579,0.04752000000000001,5,Hendriks et al,2013,xinyi,CmL_CmS_CS,CmS,gamma irradiation
33,51,plantago_lanceolata,leucanthemum_vulgare,leucanthemum_vulgare_plantago_lanceolata,1,Lab,Lab,Individual,0.015,0.003,5,0.096,0.007,5,0.016,0.0016,5,0.025,0.0034,5,0.321267,0.02714899999999998,5,0.283784,0.01801800000000003,5,Hendriks et al,2013,xinyi,CmL_CmS_CS,CmS,gamma irradiation
35,53,luehea_seemannii,ochroma_pyramidale,luehea_seemannii_ochroma_pyramidale,0.1,Field,Lab,Individual,97,66,5,79,18,5,319,73,5,177,44,5,17,15,5,56,54,5,Kiers et al,2000,gaurav,FS,FS,autoclaving
36,53,licania_platypus,theobroma_cacao,licania_platypus_theobroma_cacao,0.1,Field,Lab,Individual,240,35,6,207,27,6,584,69,6,521,61,6,267,19,6,531,60,6,Kiers et al,2000,gaurav,FS,FS,autoclaving
36,53,luehea_seemannii,licania_platypus,licania_platypus_luehea_seemannii,0.1,Field,Lab,Individual,26.5,6.9,6,47.7,7.5,6,240,35,6,332,25,6,2.4,0.7000000000000002,6,267,19,6,Kiers et al,2000,gaurav,FS,FS,autoclaving
36,53,luehea_seemannii,theobroma_cacao,luehea_seemannii_theobroma_cacao,0.1,Field,Lab,Individual,26.5,6.9,6,18.1,1.7,6,584,69,6,446,16,6,2.4,0.7000000000000002,6,531,60,6,Kiers et al,2000,gaurav,FS,FS,autoclaving
37,67,dasiphora_fruticosa,potentilla_arguta,dasiphora_fruticosa_potentilla_arguta,0.571428571,Lab,Lab,Individual,1.725,0.061,6,1.664,0.099,6,1,0.107,6,1.061,0.099,6,1.417647058823525,0.05657465900491564,4,1.2911764705882318,0.07119834374653043,4,Callaway et al,2013,gaurav,CS,CS,autoclaving
37,67,dasiphora_fruticosa,potentilla_gracilis,dasiphora_fruticosa_potentilla_gracilis,0.571428571,Lab,Lab,Individual,1.725,0.061,6,1.534,0.115,6,1.237,0.168,6,1.733,0.061,6,1.417647058823525,0.05657465900491564,4,1.2705882352941125,0.08700117328087681,4,Callaway et al,2013,gaurav,CS,CS,autoclaving
37,67,potentilla_gracilis,potentilla_arguta,potentilla_arguta_potentilla_gracilis,0.571428571,Lab,Lab,Individual,1.237,0.168,6,1.237,0.145,6,1,0.107,6,0.824,0.092,6,1.2705882352941125,0.08700117328087681,4,1.2911764705882318,0.07119834374653043,4,Callaway et al,2013,gaurav,CS,CS,autoclaving
37,67,potentilla_recta,potentilla_arguta,potentilla_arguta_potentilla_recta,0.571428571,Lab,Lab,Individual,0.985,0.046,6,1.321,0.068,6,1,0.107,6,0.939,0.069,6,2.03823529411764,0.06190460347014533,4,1.2911764705882318,0.07119834374653043,4,Callaway et al,2013,gaurav,CS,CS,autoclaving
37,67,potentilla_recta,dasiphora_fruticosa,dasiphora_fruticosa_potentilla_recta,0.571428571,Lab,Lab,Individual,0.985,0.046,6,1.031,0.045,6,1.725,0.061,6,1.527,0.091,6,2.03823529411764,0.06190460347014533,4,1.417647058823525,0.05657465900491564,4,Callaway et al,2013,gaurav,CS,CS,autoclaving
37,67,potentilla_recta,potentilla_gracilis,potentilla_gracilis_potentilla_recta,0.571428571,Lab,Lab,Individual,0.985,0.046,6,0.962,0.03,6,1.237,0.168,6,0.863,0.076,6,2.03823529411764,0.06190460347014533,4,1.2705882352941125,0.08700117328087681,4,Callaway et al,2013,gaurav,CS,CS,autoclaving
59,105,apeiba_membranacea,luehea_seemannii,apeiba_membranacea_luehea_seemannii,0.038461538,Lab,Lab,Individual,1.6419,0.151,15,1.2685,0.133,15,2.1831,0.124,15,2.3028,0.123,15,1.0396858999938532,0.05805013158671081,2,1.105372080066541,0.05721526557479332,2,Mangan et al,2010,gaurav,CS,CS,steam-pasteurization
63,144,solidago_canadensis,solidago_rugosa,solidago_canadensis_solidago_rugosa,0.014705882,LabField,Lab,Population,3.087,0.26,7,3.808,0.375,7,2.769,0.375,7,1.529,0.346,7,3.357615894,0.337748344,7,1.21192053,0.337748344,7,Pendergast et al,2012,xinyi,CmS,CmS,autoclaving
63,144,solidago_canadensis,symphyotrichum_novae-angliae,solidago_canadensis_symphyotrichum_novae-angliae,0.014705882,LabField,Lab,Population,3.087,0.26,7,3.808,0.375,7,2.308,0.38,7,1.5,0.346,7,3.357615894,0.337748344,7,2.125827815,0.32781456900000006,7,Pendergast et al,2012,xinyi,CmS,CmS,autoclaving
63,144,solidago_canadensis,symphyotrichum_pilosum,solidago_canadensis_symphyotrichum_pilosum,0.014705882,LabField,Lab,Population,3.087,0.26,7,4.067,0.288,7,3.317,0.346,7,3.577,0.375,7,3.357615894,0.337748344,7,3.635761589,0.34768212,7,Pendergast et al,2012,xinyi,CmS,CmS,autoclaving
63,144,solidago_rugosa,symphyotrichum_novae-angliae,solidago_rugosa_symphyotrichum_novae-angliae,0.014705882,LabField,Lab,Population,2.769,0.375,7,2.077,0.375,7,2.308,0.38,7,3.548,0.312,7,1.21192053,0.337748344,7,2.125827815,0.32781456900000006,7,Pendergast et al,2012,xinyi,CmS,CmS,autoclaving
63,144,solidago_rugosa,symphyotrichum_pilosum,solidago_rugosa_symphyotrichum_pilosum,0.014705882,LabField,Lab,Population,2.769,0.375,7,1.587,0.317,7,3.317,0.346,7,4.24,0.287,7,1.21192053,0.337748344,7,3.635761589,0.34768212,7,Pendergast et al,2012,xinyi,CmS,CmS,autoclaving
63,144,symphyotrichum_novae-angliae,symphyotrichum_pilosum,symphyotrichum_novae-angliae_symphyotrichum_pilosum,0.014705882,LabField,Lab,Population,2.308,0.38,7,2.221,0.317,7,3.317,0.346,7,4.962,0.346,7,2.125827815,0.32781456900000006,7,3.635761589,0.34768212,7,Pendergast et al,2012,xinyi,CmS,CmS,autoclaving
75,177,lactuca_sativa,lactuca_serriola,lactuca_sativa_lactuca_serriola,1,Lab,Lab,Individual,0.21,0.03,7,0.26,0.04,7,0.1,0.02,7,0.06,0.02,7,0.475109170305676,0.09432314410480402,7,0.2235807860262,0.026200873362446,7,Aguilera et al,2017,gaurav,FL_FS,FS,autoclaving
79,195,chondrosum_eriopodum,chondrosum_gracile,chondrosum_eriopodum_chondrosum_gracile,0.1,Field,Lab,Population,0.0578,0.0165,9,0.0377,0.0144,9,0.252,0.0425,18,0.2836,0.0229,18,0.0682,0.01592011306492513,2,0.2835,0.04057708713054695,2,Chung and Rudgers,2016,gaurav,CS,CS,autoclaving
80,195,chondrosum_eriopodum,chondrosum_gracile,chondrosum_eriopodum_chondrosum_gracile,0.1,Field,Lab,Population,0.0381,0.0126,8,0.0131,0.0064,7,0.1615,0.0184,18,0.291,0.0442,18,0.03405,0.00850411665018771,2,0.2485,0.04401136216933075,2,Chung and Rudgers,2016,gaurav,CS,CS,autoclaving
81,173,quercus_suber,olea_europaea,olea_europaea_quercus_suber,1,Field,Lab,Individual,1.9,0.28,10,1.67,0.21,10,0.63,0.06,10,0.88,0.16,10,2.218275882995505,0.11959937391838318,3,0.182,0.0174999999999993,2,Gomez-Aparicio et al,2017,gaurav,CS,CS,autoclaving
81,173,quercus_suber,quercus_canariensis,quercus_canariensis_quercus_suber,1,Field,Lab,Individual,2.26,0.33,10,1.8,0.16,10,1.52,0.13,10,2.13,0.34,10,2.218275882995505,0.11959937391838318,3,2.119480519480515,0.22053462386625836,2,Gomez-Aparicio et al,2017,gaurav,CS,CS,autoclaving
82,173,quercus_suber,olea_europaea,olea_europaea_quercus_suber,1,Field,Lab,Individual,1.59,0.21,10,1.67,0.21,10,0.63,0.06,10,0.68,0.1,10,2.0074766355140152,0.38682843697809055,1,0.279999999999999,0.04199999999999998,1,Gomez-Aparicio et al,2017,gaurav,CS,CS,autoclaving
82,173,quercus_suber,quercus_canariensis,quercus_canariensis_quercus_suber,1,Field,Lab,Individual,2.39,0.32,10,1.8,0.16,10,1.52,0.13,10,2.23,0.23,10,2.0074766355140152,0.38682843697809055,1,2.1038961038961,0.22597402597402017,1,Gomez-Aparicio et al,2017,gaurav,CS,CS,autoclaving
83,173,quercus_suber,olea_europaea,olea_europaea_quercus_suber,1,Field,Lab,Individual,2.17,0.03,10,1.67,0.21,10,0.63,0.06,10,0.39,0.07,10,1.96148804466561,0.4898545381915724,1,0.202999999999999,0.02800000000000102,1,Gomez-Aparicio et al,2017,gaurav,CS,CS,autoclaving
